custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday
XR3V3V,1,4/28/2011,6/7/2011,6/7/2011,44,9.090909091,2.272727273,56.02,0,0,0,0,Thursday
ULM9PE,0,3/10/2011,3/25/2011,3/25/2011,0,0,0,59.13,0,0,0,0,Friday
MD4VKM,0,2/14/2011,4/5/2011,11/14/2011,18,77.77777778,0,119.41,0.031390135,0,0,0,Tuesday
3GDS4G,1,9/27/2010,3/10/2011,11/29/2011,18,0,0,76.25,0.151515152,0,0,0,Wednesday
4Z4PKU,1,9/17/2009,8/18/2010,9/23/2010,38,36.84210526,0,30.25,0.055555556,0,0,0,Thursday
2UFWRC,1,4/15/2010,6/29/2010,6/29/2010,18,0,0,73.89,0,0,0,0,Wednesday
N8GQC9,1,6/9/2010,6/9/2010,6/23/2010,32,84.375,0,53.21,0.142857143,0,0,0,Wednesday
MYAMTB,1,10/14/2010,7/10/2013,10/22/2013,49,2.040816327,2.040816327,68.69,0.019230769,0,1,0,Thursday
MDRSH9,1,7/2/2009,11/18/2010,11/25/2013,53,7.547169811,1.886792453,49.22,0.006346328,0,0,0,Wednesday
QRMMJL,1,5/3/2010,5/3/2010,5/3/2010,16,0,0,52.24,0,0,0,0,Tuesday
BETC2J,0,2/7/2011,4/26/2011,7/13/2011,0,0,0,78.72,0.205128205,0,0,0,Wednesday
A3MQSQ,1,3/23/2011,3/31/2011,3/12/2013,31,80.64516129,0,74.1,0.007022472,0,0,0,Friday
2K385V,1,8/26/2010,11/15/2011,11/15/2011,40,45,5,57.9,0,0,0,0,Friday
TK2DRL,0,9/13/2010,9/14/2010,9/14/2010,0,0,0,50.11,0,0,0,0,Tuesday
GM4R96,1,9/29/2010,10/3/2010,1/15/2014,50,0,0,101.88,0.025,0,0,0,Monday
7YBLJP,1,3/5/2011,4/14/2013,4/14/2013,44,2.272727273,0,75.34,0,0,0,0,Monday
4XTZBW,0,1/17/2010,9/22/2010,12/21/2010,0,0,0,25.41,0.166666667,0,0,0,Thursday
2ZM8LV,1,2/7/2011,4/10/2011,8/30/2012,47,2.127659574,0,51.87,0.007874016,0,0,0,Monday
4SXMB8,0,9/13/2010,9/13/2010,9/13/2010,0,0,0,29.68,0,0,0,0,Tuesday
ATZ3SM,1,10/31/2009,10/31/2009,6/14/2011,41,26.82926829,2.43902439,36.32,0.003384095,0,0,0,Tuesday
KBQYJS,1,12/6/2010,12/6/2010,12/6/2010,33,66.66666667,3.03030303,50,0,0,0,0,Thursday
7CSZT9,1,5/26/2010,2/28/2011,12/20/2012,34,91.17647059,8.823529412,71.09,0.009077156,0,0,0,Tuesday
EVNYY8,1,10/3/2010,10/4/2010,3/19/2013,41,17.07317073,0,29.38,0.002229654,0,0,0,Monday
VYZNXG,0,1/21/2011,4/11/2011,8/9/2012,3,66.66666667,0,36.73,0.049382716,0,0,0,Thursday
V9M9KQ,1,11/9/2010,11/9/2010,1/3/2012,18,0,0,147.47,0.011904762,0,0,0,Wednesday
XSGC8S,1,3/16/2009,3/16/2009,3/16/2009,16,0,0,7.14,0,0,0,0,Tuesday
ER8P5H,0,2/16/2010,2/25/2010,7/20/2011,0,0,0,42.94,0.029411765,0,0,0,Thursday
RS3GR,0,4/27/2011,7/22/2011,9/6/2011,0,0,0,15.44,0.065217391,0,0,0,Friday
4KVY8L,0,10/28/2009,12/28/2009,12/28/2009,39,17.94871795,0,33.4,0,0,0,0,Tuesday
N644Y8,1,12/15/2008,10/22/2009,8/21/2013,35,91.42857143,11.42857143,42.07,0.029306648,1,0,0,Thursday
QPHG7V,1,9/22/2010,3/16/2011,1/18/2013,48,10.41666667,4.166666667,50.21,0.03115727,0,0,0,Thursday
2A5TBB,1,11/8/2010,1/12/2011,1/8/2014,44,93.18181818,13.63636364,83.07,0.135531136,0,0,0,Tuesday
KXTV8T,1,6/22/2010,7/19/2011,8/20/2012,43,23.25581395,0,84.67,0.015075377,1,0,0,Monday
KDLBAE,1,11/17/2010,11/18/2010,11/18/2010,47,8.510638298,2.127659574,58.95,0,0,0,0,Thursday
YNP547,1,8/21/2010,8/23/2010,9/12/2010,45,4.444444444,0,93.96,0.1,1,0,0,Tuesday
UGQ8VY,1,1/19/2011,2/14/2011,10/15/2013,40,45,0,192.98,0.013347023,0,0,0,Tuesday
8XSJPQ,1,7/22/2010,7/23/2010,11/6/2013,50,4,0,84.88,0.024126456,0,0,0,Friday
5R2GEU,1,4/1/2011,4/4/2011,5/23/2011,45,8.888888889,0,41.51,0.040816327,0,0,0,Monday
5V4WH3,0,3/24/2011,4/8/2011,5/13/2011,0,0,0,97.89,0.085714286,0,0,0,Friday
5FB2AP,1,9/15/2010,9/15/2010,9/15/2010,44,2.272727273,0,19.56,0,0,0,0,Wednesday
SXPMV5,0,12/3/2009,2/14/2010,2/14/2010,0,0,0,24.26,0,0,0,0,Monday
4ZDLEH,0,7/12/2010,10/15/2010,12/23/2011,0,0,0,56.83,0.020737327,0,0,0,Friday
SMEWYP,0,4/11/2011,4/11/2011,4/11/2011,0,0,0,72.4,0,1,0,0,Thursday
7RV4T3,0,9/29/2010,10/4/2010,7/10/2012,0,0,0,135.55,0.007751938,1,0,0,Thursday
2YMN6P,0,5/21/2010,5/21/2010,5/21/2010,0,0,0,42.6,0,0,0,0,Wednesday
7WGT48,1,8/11/2010,3/1/2011,10/7/2013,40,42.5,7.5,27.86,0.045215563,1,0,0,Tuesday
849DDM,0,2/24/2010,2/24/2010,2/24/2010,0,0,0,56.71,0,0,0,0,Wednesday
T8G2CY,1,5/19/2010,1/8/2012,1/8/2012,16,0,0,81.99,0,0,0,0,Wednesday
VF2825,1,4/29/2010,4/20/2013,4/20/2013,33,78.78787879,27.27272727,56.74,0,0,0,0,Tuesday
2PB5EX,1,10/4/2010,10/5/2010,10/5/2010,31,67.74193548,3.225806452,100.6,0,0,0,0,Tuesday
LWDJWH,1,8/14/2010,9/23/2010,12/4/2013,46,54.34782609,17.39130435,139.5,0.065068493,0,0,0,Thursday
VD9MT,1,4/7/2011,4/7/2011,11/11/2013,48,10.41666667,10.41666667,70.89,0.008429926,0,0,0,Thursday
DXRE3R,0,8/20/2009,7/9/2010,3/25/2012,0,0,0,48.23,0.016,0,0,0,Tuesday
DLADQM,0,3/24/2011,5/10/2011,6/11/2013,1,100,0,271.65,0.049803408,0,0,0,Thursday
DBGXEK,1,4/19/2010,6/16/2010,12/28/2011,45,22.22222222,0,137.78,0.042857143,0,0,0,Monday
9DXV6D,1,3/6/2011,5/1/2011,1/8/2013,35,82.85714286,2.857142857,87.14,0.114886731,1,0,0,Monday
BYXX9C,1,10/13/2010,10/13/2010,10/13/2010,16,0,0,70.56,0,0,0,0,Thursday
LM4EAF,0,10/6/2010,8/30/2011,8/30/2011,0,0,0,35.88,0,0,0,0,Wednesday
ZLV5KR,1,8/24/2010,3/16/2011,3/23/2011,18,0,0,50.87,0.571428571,0,0,0,Wednesday
H7SDYR,1,9/21/2010,9/25/2011,7/17/2013,47,12.76595745,0,52.58,0.060514372,1,0,0,Thursday
9VQSDL,1,9/14/2010,9/14/2010,9/14/2010,16,0,0,102.74,0,0,0,0,Tuesday
Q9JCF3,1,9/16/2012,12/1/2012,7/10/2013,44,4.545454545,0,88.68,0.009049774,1,0,0,Monday
QJNZVM,1,4/28/2013,4/28/2013,1/13/2014,53,11.32075472,7.547169811,117.77,0.1,0,0,1,Monday
QWKKEM,1,6/27/2012,6/28/2012,5/13/2013,33,84.84848485,9.090909091,81.85,0.031347962,1,0,0,Monday
9XZABQ,1,10/12/2012,10/12/2012,2/10/2013,45,6.666666667,6.666666667,72.04,0.041322314,1,0,0,Monday
JJQW6V,1,2/7/2012,3/5/2012,3/25/2012,45,0,0,55.88,0.1,1,0,0,Tuesday
LM57QL,1,12/13/2011,12/13/2011,12/11/2013,38,65.78947368,2.631578947,90.13,0.0260631,0,0,0,Monday
2WW6TW,1,8/28/2012,7/24/2012,1/13/2014,43,53.48837209,16.27906977,77.94,0.068773234,1,0,0,Wednesday
4FFC8E,1,10/20/2012,10/20/2012,3/23/2013,42,16.66666667,2.380952381,80.56,0.019480519,0,0,0,Tuesday
JNHEXN,0,8/28/2012,10/16/2012,10/16/2012,0,0,0,42.28,0,1,0,0,Thursday
NTD6N7,0,7/6/2013,7/6/2013,7/21/2013,0,0,0,53.94,0.2,1,0,0,Tuesday
LTUBS7,1,2/5/2012,2/5/2012,8/4/2013,47,10.63829787,4.255319149,72.16,0.038461538,0,0,0,Monday
CCP7RR,1,10/17/2011,10/30/2011,1/5/2014,41,92.68292683,31.70731707,80.31,0.010025063,0,0,0,Monday
BUFSQN,0,9/30/2012,10/3/2012,3/5/2013,0,0,0,57.4,0.058823529,1,0,0,Thursday
RDTM8T,0,8/28/2012,8/2/2012,1/7/2013,0,0,0,49.67,0.050632911,0,0,0,Sunday
NAL7E3,0,6/15/2013,6/15/2013,6/15/2013,0,0,0,99.94,0,0,0,0,Saturday
DXBQJ8,1,1/3/2013,6/17/2013,6/17/2013,35,71.42857143,22.85714286,99.71,0,1,1,0,Thursday
93U94U,1,5/24/2012,5/24/2012,2/19/2013,48,0,0,63.27,0.014760148,0,0,0,Thursday
9ZKRX7,1,4/20/2013,6/19/2013,6/19/2013,42,7.142857143,4.761904762,47.18,0,0,0,0,Monday
W7VEKT,1,5/19/2013,5/19/2013,12/18/2013,51,9.803921569,5.882352941,57.08,0.014084507,0,0,0,Thursday
JGRA2J,1,8/31/2012,9/17/2012,1/25/2013,45,0,0,58.25,0.023076923,0,0,0,Friday
Y2TX93,1,7/22/2012,4/15/2013,1/2/2014,52,3.846153846,0,61.33,0.030534351,1,0,0,Friday
EPTR2K,1,2/5/2013,2/13/2013,2/13/2013,45,0,0,67.47,0,0,0,0,Wednesday
E9TUBX,1,6/11/2013,6/12/2013,6/12/2013,37,10.81081081,0,110.42,0,1,0,0,Thursday
JSYEHW,1,5/13/2013,6/19/2013,6/19/2013,45,0,0,124.79,0,0,0,0,Friday
YBFGDC,1,8/28/2012,8/29/2012,12/26/2013,31,70.96774194,38.70967742,92.09,0.092975207,1,0,0,Sunday
N9LGZX,1,12/1/2012,12/15/2012,1/14/2014,53,1.886792453,0,63.23,0.032911392,0,0,0,Wednesday
Z3PZDY,1,5/18/2013,8/12/2013,1/14/2014,47,48.93617021,14.89361702,73.11,0.058064516,1,0,0,Friday
9HSJXC,1,6/19/2013,9/8/2013,1/16/2014,50,8,6,74.65,0.123076923,1,0,0,Tuesday
BH5TW7,0,12/1/2012,12/30/2012,4/28/2013,0,0,0,40.87,0.075630252,0,0,0,Wednesday
PJTGNR,1,5/20/2013,9/30/2013,10/8/2013,30,40,16.66666667,53.89,0.25,0,0,0,Wednesday
U2KV7Y,1,2/23/2013,4/1/2013,7/3/2013,29,37.93103448,0,46.99,0.021505376,1,0,0,Sunday
MALWJ4,1,7/6/2011,5/29/2012,11/2/2013,41,26.82926829,0,67.89,0.044061303,1,0,0,Tuesday
Q8D52U,0,6/26/2013,7/8/2013,7/16/2013,2,100,0,34.51,0.25,1,0,0,Wednesday
QBYE9A,1,2/2/2013,2/10/2013,2/10/2013,44,6.818181818,2.272727273,56.22,0,0,0,0,Monday
N59FDJ,1,3/29/2013,5/19/2013,8/4/2013,43,9.302325581,2.325581395,46.16,0.038961039,1,0,0,Tuesday
HUK5TJ,1,3/28/2013,4/3/2013,4/3/2013,43,11.62790698,0,51.49,0,0,0,0,Thursday
CWR8T6,1,5/3/2013,5/29/2013,5/29/2013,45,0,0,17.97,0,0,0,0,Wednesday
838ZRD,1,6/2/2013,6/2/2013,6/30/2013,34,88.23529412,0,65,0.071428571,1,0,0,Monday
WRE6K2,0,8/25/2011,8/26/2011,7/22/2013,27,88.88888889,11.11111111,86.32,0.07183908,1,0,0,Friday
5FQ767,1,5/29/2013,5/29/2013,5/29/2013,45,0,0,77.08,0,1,0,0,Tuesday
LMQQK9,1,5/11/2013,10/20/2013,12/16/2013,39,74.35897436,7.692307692,113.08,0.035087719,1,0,0,Tuesday
KE26TZ,1,11/10/2011,11/10/2011,11/10/2011,45,4.444444444,2.222222222,55.71,0,0,0,0,Tuesday
TRU2XV,1,10/26/2011,10/26/2011,6/11/2013,49,8.163265306,0,42.41,0.037037037,0,0,0,Wednesday
P9EPEF,0,4/26/2013,4/26/2013,4/26/2013,32,46.875,0,50.98,0,1,0,0,Tuesday
8KAJZN,1,6/9/2013,6/18/2013,6/18/2013,43,9.302325581,0,54.37,0,1,0,0,Wednesday
7HJKNA,1,3/26/2013,3/26/2013,3/26/2013,45,0,0,73.73,0,0,0,0,Wednesday
89N9BJ,1,8/28/2012,7/26/2012,8/16/2012,36,0,0,40.49,0.142857143,0,0,0,Sunday
6MQM9W,1,4/2/2012,4/2/2012,4/22/2012,45,8.888888889,8.888888889,21.75,0.1,0,0,0,Tuesday
PPZDB4,0,6/19/2013,6/30/2013,8/4/2013,40,0,0,88.5,0.057142857,1,0,0,Monday
6ZVL66,0,12/20/2011,12/22/2011,1/14/2013,0,0,0,104.25,0.005141388,0,0,0,Friday
M2A5UF,1,11/30/2011,11/30/2011,12/12/2013,51,66.66666667,11.76470588,42.9,0.02960969,0,0,0,Friday
NFSLCQ,1,6/14/2013,6/14/2013,6/14/2013,42,23.80952381,0,100.02,0,1,0,0,Thursday
BSLTDD,1,9/13/2011,9/13/2011,11/27/2012,37,43.24324324,10.81081081,52.64,0.036281179,1,0,0,Tuesday
HKYEB4,1,8/28/2012,7/20/2012,10/23/2012,38,0,0,50.41,0.052631579,0,0,0,Sunday
WMRXVA,1,4/20/2013,4/24/2013,7/10/2013,47,23.40425532,6.382978723,44.64,0.077922078,0,0,0,Thursday
CXS9GP,1,2/12/2013,2/21/2013,1/20/2014,66,39.39393939,12.12121212,43.13,0.126126126,0,0,0,Tuesday
J6CU9U,1,12/11/2012,12/11/2012,9/16/2013,47,0,0,33.31,0.046594982,0,0,0,Tuesday
P85EAL,1,3/8/2013,3/8/2013,11/5/2013,45,31.11111111,11.11111111,120.19,0.045454545,0,0,0,Wednesday
4P9RP7,1,8/28/2012,7/26/2012,5/13/2013,48,0,0,47.89,0.020618557,0,0,0,Saturday
D6HK95,0,7/17/2011,10/30/2011,3/3/2013,0,0,0,44.71,0.006122449,0,0,0,Monday
M76DYE,1,8/28/2012,7/31/2012,5/13/2013,32,100,34.375,103.87,0.094405594,1,0,0,Wednesday
5X9BZT,1,4/18/2012,2/24/2013,12/22/2013,45,48.88888889,4.444444444,108.27,0.006644518,1,0,0,Thursday
HACMFM,0,2/5/2012,2/12/2012,2/15/2013,0,0,0,153.26,0.027100271,0,0,0,Monday
G59QNH,1,3/26/2013,5/8/2013,5/8/2013,39,28.20512821,0,114.14,0,0,0,0,Thursday
RHQEAS,1,5/3/2013,5/23/2013,5/23/2013,40,27.5,2.5,95.57,0,0,0,0,Friday
GHJFDW,1,1/26/2012,6/11/2012,11/17/2013,51,5.882352941,1.960784314,88.58,0.030534351,1,0,0,Monday
W8K3YQ,1,9/21/2012,3/4/2013,1/19/2014,47,36.17021277,2.127659574,178.99,0.021806854,0,0,0,Tuesday
VWFBF2,0,4/6/2013,4/14/2013,4/14/2013,0,0,0,130.86,0,1,0,0,Monday
3ZHH44,1,2/12/2013,2/12/2013,3/20/2013,44,6.818181818,4.545454545,149.83,0.083333333,1,0,0,Tuesday
FCEWNV,1,3/4/2013,3/4/2013,3/4/2013,45,15.55555556,0,92.79,0,0,0,0,Tuesday
RZGMTV,1,3/22/2013,3/25/2013,4/10/2013,41,19.51219512,2.43902439,193.06,0.125,0,0,0,Tuesday
T6U97Q,1,4/22/2012,9/28/2013,1/19/2014,49,73.46938776,24.48979592,239.66,0.14159292,1,1,1,Monday
8MN866,0,5/22/2013,11/18/2013,11/18/2013,6,16.66666667,0,56.71,0,0,0,0,Tuesday
6NWLDP,0,4/27/2013,10/20/2013,10/20/2013,39,7.692307692,2.564102564,65.07,0,0,0,0,Saturday
NEVX7X,1,2/1/2013,2/1/2013,3/13/2013,45,28.88888889,6.666666667,86.33,0.1,1,0,0,Thursday
5SZGMB,1,7/29/2011,8/17/2011,11/13/2013,38,76.31578947,31.57894737,37.21,0.042735043,1,0,0,Thursday
M4FFL6,1,6/26/2012,7/5/2012,2/7/2013,47,0,0,88.07,0.046082949,0,0,0,Friday
2F85SS,1,7/28/2011,7/24/2013,7/24/2013,43,2.325581395,0,56.05,0,1,0,0,Thursday
6X23P6,1,8/6/2012,8/13/2012,3/10/2013,42,26.19047619,11.9047619,81.17,0.023923445,0,0,0,Monday
VDYTMN,1,5/9/2012,2/18/2013,5/1/2013,47,4.255319149,4.255319149,133.55,0.097222222,0,0,0,Thursday
8K7FDG,1,5/11/2013,5/12/2013,7/23/2013,43,16.27906977,2.325581395,79.68,0.041666667,0,0,0,Wednesday
E9BM3E,1,7/1/2013,7/2/2013,7/2/2013,20,30,0,54.99,0,1,0,0,Wednesday
3AHJFS,0,7/16/2011,10/31/2011,5/2/2012,0,0,0,102.82,0.032608696,1,0,0,Tuesday
43S57T,1,9/5/2011,9/15/2011,3/19/2013,44,2.272727273,2.272727273,141.33,0.005444646,1,0,0,Thursday
KJRS8D,1,2/4/2013,2/4/2013,2/4/2013,45,17.77777778,4.444444444,60.69,0,0,0,0,Wednesday
QGUHP5,0,4/26/2012,4/15/2013,4/15/2013,0,0,0,115.93,0,0,0,0,Tuesday
SG8YH5,1,9/27/2012,1/10/2013,3/8/2013,45,0,0,247.54,0.035087719,1,0,0,Saturday
BLY74D,1,9/29/2011,9/30/2011,9/8/2013,45,4.444444444,0,85.06,0.036671368,0,0,0,Monday
68NS83,1,5/31/2013,6/12/2013,6/12/2013,45,0,0,50.63,0,1,0,0,Thursday
ALUF33,1,7/26/2011,7/27/2011,7/15/2013,45,28.88888889,0,163.9,0.006954103,0,0,0,Thursday
B87VZ2,1,4/12/2013,4/12/2013,8/1/2013,46,6.52173913,0,76.65,0.072072072,0,0,0,Monday
7GCFAW,1,8/28/2012,7/20/2012,6/20/2013,37,21.62162162,2.702702703,136.74,0.026865672,0,0,0,Sunday
HK2T6Q,1,5/26/2012,5/26/2012,12/21/2013,49,40.81632653,2.040816327,68.6,0.015679443,0,0,0,Wednesday
HWKDYB,1,7/1/2011,8/9/2011,9/10/2013,34,82.35294118,29.41176471,66.04,0.031454784,0,0,0,Wednesday
JW7X2C,1,6/24/2013,6/24/2013,6/24/2013,45,0,0,34.3,0,1,0,0,Tuesday
BDN5ET,0,8/8/2012,8/13/2012,5/7/2013,0,0,0,91.86,0.119850187,1,0,0,Wednesday
LWEGHY,1,7/2/2013,7/2/2013,7/2/2013,45,24.44444444,0,60.86,0,1,0,0,Wednesday
LZTK9P,0,6/19/2013,7/11/2013,7/11/2013,0,0,0,120.09,0,1,0,0,Friday
ZWW78M,0,5/5/2012,5/30/2012,7/21/2013,16,12.5,0,13.41,0.074340528,1,0,0,Friday
3ZSBTX,0,3/1/2013,3/1/2013,7/10/2013,0,0,0,64.43,0.030534351,1,0,0,Sunday
GNMULL,1,6/16/2013,7/17/2013,8/4/2013,45,2.222222222,0,46.8,0.166666667,1,0,0,Friday
Y6KPSF,1,10/25/2011,4/14/2012,12/19/2013,51,13.7254902,1.960784314,93.66,0.042345277,1,0,0,Friday
BDXHRQ,1,6/4/2011,6/8/2011,6/8/2011,44,11.36363636,0,96.55,0,0,0,0,Thursday
YPPAHS,0,8/28/2012,7/20/2012,8/23/2012,0,0,0,49.75,0.058823529,0,0,0,Sunday
7N7G4H,1,8/28/2012,11/20/2013,11/20/2013,46,10.86956522,4.347826087,153.08,0,0,0,0,Thursday
U8VK7V,1,5/23/2013,6/5/2013,10/26/2013,48,27.08333333,6.25,91.48,0.048951049,1,0,0,Tuesday
V5N27L,1,6/21/2011,3/26/2012,12/30/2012,46,13.04347826,6.52173913,62.84,0.021505376,0,0,0,Wednesday
WRA62C,1,11/9/2011,11/9/2011,11/6/2013,50,4,2,57.6,0.008241758,0,0,0,Thursday
FUGZDZ,1,6/11/2013,8/15/2013,1/13/2014,54,20.37037037,12.96296296,95.56,0.052980132,1,0,0,Friday
B47WLH,1,6/18/2012,6/18/2012,1/7/2013,44,4.545454545,4.545454545,62.37,0.014778325,0,0,0,Tuesday
EGL8WM,1,3/12/2013,4/9/2013,4/9/2013,32,28.125,0,82.96,0,0,0,0,Sunday
KKJ6CN,1,6/6/2013,6/29/2013,6/29/2013,45,4.444444444,0,73.25,0,1,0,0,Tuesday
D3N9MY,1,9/9/2012,2/21/2013,2/21/2013,45,4.444444444,0,107.02,0,0,0,0,Saturday
WXSW4V,1,8/28/2012,7/24/2012,1/11/2014,57,24.56140351,10.52631579,81.96,0.098880597,1,0,1,Wednesday
MLUWAQ,1,1/10/2013,1/16/2013,1/16/2013,45,0,0,89.7,0,0,0,0,Thursday
JV7K25,1,2/13/2013,2/14/2013,5/27/2013,45,4.444444444,0,102.67,0.029411765,1,0,0,Tuesday
HA4AGJ,1,11/10/2012,11/10/2012,12/15/2013,15,53.33333333,20,73.22,0.0225,1,0,0,Monday
X486W4,1,3/22/2013,3/22/2013,3/22/2013,36,2.777777778,2.777777778,58.06,0,0,0,0,Sunday
